car_brand,car_model,year_range,part_category,part_name,part_price,repair_labour_cost,replace_labour_cost,total_repair_cost,total_replace_cost
Hyundai,Creta,2020-2024,Engine Parts,Radiator,5644,1500,2000,7144,7644
Hyundai,Creta,2020-2024,Engine Parts,Timing Chain,2925,2500,3000,5425,5925
Hyundai,Creta,2020-2024,Engine Parts,Spark Plug,1125,300,400,1425,1525
Hyundai,Creta,2020-2024,Engine Parts,Fan Belt,700,500,600,1200,1300
Hyundai,Creta,2020-2024,Engine Parts,Clutch Plate,5245,3000,3500,8245,8745
Hyundai,Creta,2020-2024,Electric Parts,Tail Light Left,2602,800,1000,3402,3602
Hyundai,Creta,2020-2024,Electric Parts,Tail Light Right,2602,800,1000,3402,3602
Hyundai,Creta,2020-2024,Body Parts,Front Bumper,1820,1500,2000,3320,3820
Hyundai,Creta,2020-2024,Body Parts,Rear Bumper,3393,1500,2000,4893,5393
Hyundai,Creta,2020-2024,Body Parts,Bonnet/Hood,7919,2000,2500,9919,10419
Hyundai,Creta,2020-2024,Body Parts,Front Windshield Glass,5120,2000,2500,7120,7620
Hyundai,Creta,2020-2024,Body Parts,Rear Windshield Glass,3754,1500,2000,5254,5754
Toyota,Camry,2020-2024,Engine Parts,Radiator,12000,1800,2200,13800,14200
Toyota,Camry,2020-2024,Engine Parts,Timing Chain,4500,2800,3300,7300,7800
Toyota,Camry,2020-2024,Engine Parts,Spark Plug,800,400,500,1200,1300
Mahindra,BE 6,2020-2024,Engine Parts,Radiator,6500,1600,2000,8100,8500
Mahindra,BE 6,2020-2024,Engine Parts,Timing Chain,3200,2400,2900,5600,6100
Mahindra,BE 6,2020-2024,Engine Parts,Spark Plug,600,350,450,950,1050
Maruti,Swift Dzire,2020-2024,Engine Parts,Radiator,3199,1200,1500,4399,4699
Maruti,Swift Dzire,2020-2024,Engine Parts,Intercooler,1898,1500,1800,3398,3698
Maruti,Swift Dzire,2020-2024,Engine Parts,Timing Chain,529,2000,2500,2529,3029
Maruti,Swift Dzire,2020-2024,Engine Parts,Spark Plug,779,300,400,1079,1179
Maruti,Swift Dzire,2020-2024,Engine Parts,Fan Belt,239,400,500,639,739
Maruti,Swift Dzire,2020-2024,Engine Parts,Cylinder Kit,8550,3500,4000,12050,12550
Maruti,Swift Dzire,2020-2024,Engine Parts,Clutch Plate,1819,2500,3000,4319,4819
Maruti,Swift Dzire,2020-2024,Electric Parts,Head Light,2982,800,1000,3782,3982
Maruti,Swift Dzire,2020-2024,Electric Parts,Tail Light,1094,600,800,1694,1894
Maruti,Swift Dzire,2020-2024,Electric Parts,Bulb,119,200,300,319,419
